timestamp,status,card_present_flag,first_name,age,gender,txn_description,balance,amount,geometry,X,Y,merch_suburb,merch_state,merch_geometry,merch_X,merch_Y,coord_diff_km
2018-08-01T10:00:00.000+0000,posted,,Rhonda,40,F,PAYMENT,2040.1,32,153.10 -27.66,-27.66,153.1,,,,0,0,0.00
2018-08-01T10:00:00.000+0000,posted,,Susan,20,F,INTER BANK,137.14,39,150.68 -33.79,-33.79,150.68,,,,0,0,0.00
2018-08-01T10:00:00.000+0000,posted,,Richard,22,M,PAYMENT,292.77,34,145.03 -37.88,-37.88,145.03,,,,0,0,0.00
2018-08-01T10:00:00.000+0000,posted,,Luis,27,M,PAYMENT,28.04,29,144.71 -37.58,-37.58,144.71,,,,0,0,0.00
2018-08-01T10:00:00.000+0000,posted,,Gregory,42,M,PAYMENT,754.2,150,150.90 -33.78,-33.78,150.9,,,,0,0,0.00
2018-08-01T10:00:00.000+0000,posted,,Joseph,21,M,PAYMENT,763.64,30,147.08 -37.97,-37.97,147.08,,,,0,0,0.00
2018-08-01T10:12:51.000+0000,authorized,1,Barry,38,M,SALES-POS,301.65,20.43,138.67 -34.86,-34.86,138.67,Bomaderry,NSW,150.6 -34.84,-34.84,150.6,1089.21
2018-08-01T10:27:08.000+0000,authorized,0,Daniel,22,M,SALES-POS,1290.08,31.62,255.00 -573.00,-573,255,Sydney,NSW,151.21 -33.87,-33.87,151.21,10898.79
2018-08-01T10:41:25.000+0000,authorized,1,Renee,38,F,SALES-POS,18784.07,16.13,144.89 -37.81,-37.81,144.89,Doncaster,VIC,145.13 -37.78,-37.78,145.13,21.37
2018-08-01T10:55:42.000+0000,authorized,1,Emily,43,F,POS,29645.42,937.73,145.35 -38.03,-38.03,145.35,Dandenong South,VIC,145.21 -38.03,-38.03,145.21,12.28
2018-08-01T11:00:00.000+0000,posted,,Isaiah,23,M,PAY/SALARY,8342.11,3903.95,151.27 -33.76,-33.76,151.27,,,,0,0,0.00
2018-08-01T11:00:00.000+0000,posted,,Daniel,22,M,PAYMENT,1195.08,95,255.00 -573.00,-573,255,,,,0,0,0.00
2018-08-01T11:04:45.000+0000,authorized,1,Michael,40,M,POS,454.94,11.64,151.23 -33.96,-33.96,151.23,Margaret River,WA,115.07 -33.95,-33.95,115.07,3321.14
2018-08-01T11:11:33.000+0000,authorized,1,Amy,43,F,POS,27.86,28,142.77 -37.06,-37.06,142.77,Robinvale,VIC,142.77 -34.58,-34.58,142.77,276.07
2018-08-01T11:18:22.000+0000,authorized,1,Gregory,42,M,POS,689.22,64.98,150.90 -33.78,-33.78,150.9,Chatswood,NSW,151.2 -33.79,-33.79,151.2,27.78
2018-08-01T11:25:10.000+0000,authorized,1,Michael,40,M,SALES-POS,440.66,14.28,151.23 -33.96,-33.96,151.23,Chatswood,NSW,151.18 -33.8,-33.8,151.18,18.40
2018-08-01T11:31:58.000+0000,authorized,1,Emily,43,F,SALES-POS,29143.75,501.67,145.35 -38.03,-38.03,145.35,Mossman Gorge,QLD,145.35 -16.47,-16.47,145.35,2400.04
2018-08-01T11:38:46.000+0000,authorized,1,Christopher,33,M,POS,58154.74,17.97,145.13 -37.70,-37.7,145.13,Rockbank,VIC,144.63 -37.7,-37.7,144.63,44.04
2018-08-01T11:45:34.000+0000,authorized,0,Kimberly,24,F,POS,589.1,109.51,145.45 -37.74,-37.74,145.45,Sydney,NSW,151.21 -33.87,-33.87,151.21,675.03
2018-08-01T11:52:22.000+0000,authorized,0,Ronald,25,M,POS,2058.92,27.39,145.73 -17.03,-17.03,145.73,Cobram,VIC,145.65 -35.92,-35.92,145.65,2102.83
2018-08-01T11:59:11.000+0000,authorized,1,Jeffrey,24,M,POS,1109.58,27.39,145.00 -37.83,-37.83,145,Kilsyth,VIC,145.32 -37.8,-37.8,145.32,28.34
2018-08-01T12:00:00.000+0000,posted,,Marissa,23,F,PAY/SALARY,2040.58,1626.48,145.01 -37.93,-37.93,145.01,,,,0,0,0.00
2018-08-01T12:00:00.000+0000,posted,,Karen,26,F,PAYMENT,3071.94,46,149.03 -34.97,-34.97,149.03,,,,0,0,0.00
2018-08-01T12:00:00.000+0000,posted,,Tonya,27,F,INTER BANK,150.08,57,116.06 -32.00,-32,116.06,,,,0,0,0.00
2018-08-01T12:00:00.000+0000,posted,,Eric,22,M,PAY/SALARY,3158.51,983.36,151.18 -33.80,-33.8,151.18,,,,0,0,0.00
2018-08-01T12:00:00.000+0000,posted,,Natasha,40,F,PAYMENT,186371.86,170,143.83 -37.66,-37.66,143.83,,,,0,0,0.00
2018-08-01T12:15:26.000+0000,authorized,1,Edward,19,M,POS,4172.16,3.28,115.98 -32.07,-32.07,115.98,Ceduna,SA,133.67 -32.11,-32.11,133.67,1666.49
2018-08-01T12:50:31.000+0000,authorized,1,Craig,28,M,POS,30163.44,33.45,151.12 -33.89,-33.89,151.12,Bass Hill,NSW,150.99 -33.9,-33.9,150.99,12.06
2018-08-01T13:00:00.000+0000,posted,,Jeffrey,24,M,PAY/SALARY,2517.66,1408.08,145.00 -37.83,-37.83,145,,,,0,0,0.00
2018-08-01T13:00:00.000+0000,posted,,Ronald,25,M,INTER BANK,2032.92,26,145.73 -17.03,-17.03,145.73,,,,0,0,0.00
2018-08-01T13:00:00.000+0000,posted,,Kristin,43,F,PAY/SALARY,2271.79,1068.04,144.95 -37.76,-37.76,144.95,,,,0,0,0.00
2018-08-01T13:45:33.000+0000,authorized,0,Emily,43,F,POS,29128.11,15.64,145.35 -38.03,-38.03,145.35,Lara,VIC,144.4 -38.02,-38.02,144.4,83.31
2018-08-01T14:00:00.000+0000,posted,,Diana,26,F,PAY/SALARY,1017.52,1013.67,153.41 -27.95,-27.95,153.41,,,,0,0,0.00
2018-08-01T14:01:55.000+0000,authorized,1,Susan,20,F,POS,119.88,17.26,150.68 -33.79,-33.79,150.68,Minchinbury,NSW,150.83 -33.79,-33.79,150.83,13.88
2018-08-01T14:10:42.000+0000,authorized,0,Kimberly,24,F,SALES-POS,538.85,50.25,145.45 -37.74,-37.74,145.45,Melbourne,VIC,144.96 -37.81,-37.81,144.96,43.81
2018-08-01T14:19:28.000+0000,authorized,1,Sandra,34,F,POS,486.68,22.25,130.90 -12.37,-12.37,130.9,Stuart Park,NT,130.84 -12.44,-12.44,130.84,10.16
2018-08-01T14:28:14.000+0000,authorized,1,Rhonda,40,F,SALES-POS,2029.05,11.05,153.10 -27.66,-27.66,153.1,Port Macquarie,NSW,152.92 -31.43,-31.43,152.92,420.03
2018-08-01T14:37:01.000+0000,authorized,1,Michelle,19,F,POS,1609.16,16.18,150.82 -34.01,-34.01,150.82,Blacktown,NSW,150.91 -33.77,-33.77,150.91,27.98
2018-08-01T14:45:47.000+0000,authorized,0,Michael,40,M,SALES-POS,429.2,11.46,151.23 -33.96,-33.96,151.23,Brookvale,NSW,151.27 -33.77,-33.77,151.27,21.47
2018-08-01T15:00:00.000+0000,posted,,Debra,18,F,PAYMENT,86.91,36,138.61 -34.89,-34.89,138.61,,,,0,0,0.00
2018-08-01T15:00:00.000+0000,posted,,Ryan,38,M,PAYMENT,28453.87,35,151.27 -33.90,-33.9,151.27,,,,0,0,0.00
2018-08-01T15:02:21.000+0000,authorized,0,Michele,30,F,POS,86.3,5.29,145.04 -37.85,-37.85,145.04,Windsor,VIC,144.99 -37.86,-37.86,144.99,4.53
2018-08-01T15:08:34.000+0000,authorized,1,Michelle,19,F,SALES-POS,1602.58,6.58,150.82 -34.01,-34.01,150.82,Hurstville,NSW,151.1 -33.97,-33.97,151.1,26.22
2018-08-01T15:27:12.000+0000,authorized,1,Antonio,26,M,SALES-POS,713.56,16.03,115.78 -31.90,-31.9,115.78,O'connor,WA,115.8 -32.07,-32.07,115.8,19.02
2018-08-01T15:33:24.000+0000,authorized,1,Jessica,21,F,POS,143.4,32.41,130.84 -12.45,-12.45,130.84,Coconut Grove,NT,130.85 -12.4,-12.4,130.85,5.67
2018-08-01T15:39:37.000+0000,authorized,1,Joseph,21,M,SALES-POS,750.75,12.89,147.08 -37.97,-37.97,147.08,Wheelers Hill,VIC,145.16 -37.91,-37.91,145.16,168.69
2018-08-01T15:45:50.000+0000,authorized,1,Antonio,26,M,POS,697.46,16.1,115.78 -31.90,-31.9,115.78,Taree,NSW,152.46 -31.91,-31.91,152.46,3449.30
2018-08-01T15:52:02.000+0000,authorized,1,Michael,22,M,SALES-POS,39595.08,39.92,145.03 -37.91,-37.91,145.03,Carlton North,VIC,144.98 -37.78,-37.78,144.98,15.12
2018-08-01T15:58:15.000+0000,authorized,1,Tyler,44,M,POS,1082.64,8.1,144.79 -37.73,-37.73,144.79,Doncaster East,VIC,145.17 -37.76,-37.76,145.17,33.62
2018-08-01T16:00:00.000+0000,posted,,Lucas,21,M,PAYMENT,2335.35,55,115.81 -31.82,-31.82,115.81,,,,0,0,0.00
2018-08-01T16:00:00.000+0000,posted,,Jessica,34,F,PAY/SALARY,16433.32,3903.73,138.52 -35.01,-35.01,138.52,,,,0,0,0.00
2018-08-01T16:00:00.000+0000,posted,,Susan,20,F,PAYMENT,8.06,35,150.68 -33.79,-33.79,150.68,,,,0,0,0.00
2018-08-01T16:00:00.000+0000,posted,,Antonio,26,M,PAY/SALARY,1796.37,1098.91,115.78 -31.90,-31.9,115.78,,,,0,0,0.00
2018-08-01T16:00:00.000+0000,posted,,Jonathan,38,M,PAY/SALARY,50383.16,2647.38,130.98 -12.49,-12.49,130.98,,,,0,0,0.00
2018-08-01T16:12:00.000+0000,authorized,1,Robert,20,M,POS,1691.91,13.52,151.22 -33.87,-33.87,151.22,Newtown,NSW,151.18 -33.9,-33.9,151.18,4.98
2018-08-01T16:28:40.000+0000,authorized,0,Susan,20,F,POS,43.06,76.82,150.68 -33.79,-33.79,150.68,Brookvale,NSW,151.27 -33.77,-33.77,151.27,54.64
2018-08-01T16:45:20.000+0000,authorized,0,Natasha,40,F,POS,186344.95,26.91,143.83 -37.66,-37.66,143.83,Ballarat,VIC,143.81 -37.55,-37.55,143.81,12.37
2018-08-01T17:00:00.000+0000,posted,,Michele,30,F,PAY/SALARY,1244.45,1158.15,145.04 -37.85,-37.85,145.04,,,,0,0,0.00
2018-08-01T17:00:00.000+0000,posted,,Tyler,69,M,PAY/SALARY,1969.05,1043.12,144.96 -37.76,-37.76,144.96,,,,0,0,0.00
2018-08-01T17:00:00.000+0000,posted,,Daniel,22,M,PAYMENT,1162.08,33,255.00 -573.00,-573,255,,,,0,0,0.00
2018-08-01T17:00:00.000+0000,posted,,Susan,20,F,PAY/SALARY,1403.55,1395.49,150.68 -33.79,-33.79,150.68,,,,0,0,0.00
2018-08-01T17:00:00.000+0000,posted,,Matthew,39,M,PAY/SALARY,7094.77,3071.14,145.17 -37.84,-37.84,145.17,,,,0,0,0.00
2018-08-01T17:00:00.000+0000,posted,,Karen,26,F,PAYMENT,3021.94,50,149.03 -34.97,-34.97,149.03,,,,0,0,0.00
2018-08-01T17:00:00.000+0000,posted,,Sandra,34,F,PAYMENT,300.09,168,130.90 -12.37,-12.37,130.9,,,,0,0,0.00
2018-08-01T17:01:07.000+0000,authorized,0,James,28,M,POS,6941.78,22.59,147.63 -22.84,-22.84,147.63,Junee,NSW,147.59 -34.86,-34.86,147.59,1338.06
2018-08-01T17:10:33.000+0000,authorized,1,Tyler,44,M,SALES-POS,1067.36,15.28,144.79 -37.73,-37.73,144.79,Reservoir,VIC,145.01 -37.72,-37.72,145.01,19.40
2018-08-01T17:20:00.000+0000,authorized,1,Mackenzie,18,F,SALES-POS,189.55,5.62,150.79 -33.64,-33.64,150.79,Robertson,SA,139 -33.97,-33.97,139,1090.58
2018-08-01T17:38:52.000+0000,authorized,1,Ryan,31,M,SALES-POS,492.41,93.79,150.92 -33.77,-33.77,150.92,Haymarket,NSW,151.21 -33.88,-33.88,151.21,29.48
2018-08-01T17:48:18.000+0000,authorized,1,Marissa,23,F,SALES-POS,2025.72,14.86,145.01 -37.93,-37.93,145.01,Croydon,VIC,145.28 -37.79,-37.79,145.28,28.39
2018-08-01T17:57:44.000+0000,authorized,1,Sandra,34,F,SALES-POS,468.09,18.59,130.90 -12.37,-12.37,130.9,Yarrawonga,NT,130.98 -12.47,-12.47,130.98,14.13
2018-08-01T18:00:00.000+0000,posted,,Linda,24,F,PAYMENT,860.46,46,116.00 -31.88,-31.88,116,,,,0,0,0.00
2018-08-01T18:19:29.000+0000,authorized,1,Diana,26,F,POS,1006.85,10.67,153.41 -27.95,-27.95,153.41,Bundall,QLD,153.41 -28.01,-28.01,153.41,6.68
2018-08-01T18:45:07.000+0000,authorized,0,Christopher,35,M,SALES-POS,6022.68,19.58,151.68 -32.98,-32.98,151.68,Peterborough,SA,138.84 -32.97,-32.97,138.84,1198.34
2018-08-01T19:00:00.000+0000,posted,,Matthew,39,M,PAYMENT,7046.77,48,145.17 -37.84,-37.84,145.17,,,,0,0,0.00
2018-08-01T19:04:09.000+0000,authorized,1,Michael,21,M,SALES-POS,27984.9,26.75,146.92 -36.07,-36.07,146.92,Lavington,NSW,146.97 -36.04,-36.04,146.97,5.60
2018-08-01T19:14:03.000+0000,authorized,1,Dustin,28,M,POS,823.53,9.21,144.97 -37.42,-37.42,144.97,Docklands,VIC,144.94 -37.82,-37.82,144.94,44.61
2018-08-01T19:23:57.000+0000,authorized,1,Jessica,34,F,POS,16421.78,11.54,138.52 -35.01,-35.01,138.52,North Wagga Wagga,NSW,147.38 -35.1,-35.1,147.38,807.17
2018-08-01T19:33:51.000+0000,authorized,0,Diana,26,F,SALES-POS,995.57,11.28,153.41 -27.95,-27.95,153.41,Elanora,QLD,153.47 -28.13,-28.13,153.47,20.89
2018-08-01T19:43:45.000+0000,authorized,1,Michael,21,M,SALES-POS,27953.53,31.37,146.92 -36.07,-36.07,146.92,North Ward,QLD,146.81 -19.25,-19.25,146.81,1872.41
2018-08-01T19:53:39.000+0000,authorized,1,Richard,37,M,POS,445.04,23.86,149.19 -21.15,-21.15,149.19,Bucasia,QLD,149.16 -21.03,-21.03,149.16,13.72
2018-08-01T20:00:00.000+0000,posted,,Fernando,19,M,PAYMENT,4331.5,17,146.94 -36.04,-36.04,146.94,,,,0,0,0.00
2018-08-01T20:00:00.000+0000,posted,,Marissa,23,F,PAYMENT,1992.72,33,145.01 -37.93,-37.93,145.01,,,,0,0,0.00
2018-08-01T20:00:00.000+0000,posted,,Tonya,27,F,INTER BANK,117.08,33,116.06 -32.00,-32,116.06,,,,0,0,0.00
2018-08-01T20:00:00.000+0000,posted,,Eric,42,M,PHONE BANK,35322.36,36,144.98 -37.84,-37.84,144.98,,,,0,0,0.00
2018-08-01T20:09:28.000+0000,authorized,1,Rhonda,40,F,SALES-POS,1963.94,65.11,153.10 -27.66,-27.66,153.1,Brisbane Airport,QLD,153.12 -27.39,-27.39,153.12,30.12
2018-08-01T20:35:47.000+0000,authorized,0,James,28,M,SALES-POS,6924.65,17.13,147.63 -22.84,-22.84,147.63,Seven Mile Beach,TAS,147.5 -42.86,-42.86,147.5,2228.64
2018-08-01T21:00:00.000+0000,posted,,Heather,41,F,INTER BANK,1679.94,43,144.93 -37.79,-37.79,144.93,,,,0,0,0.00
2018-08-01T21:01:28.000+0000,authorized,1,Kimberly,27,F,SALES-POS,34.97,7.29,147.61 -37.82,-37.82,147.61,Tullamarine,VIC,144.84 -37.67,-37.67,144.84,244.39
2018-08-01T21:19:59.000+0000,authorized,1,Derek,20,M,POS,614.93,27.82,145.04 -37.92,-37.92,145.04,Camberwell,VIC,145.06 -37.83,-37.83,145.06,10.17
2018-08-01T21:38:31.000+0000,authorized,0,Diana,26,F,POS,986.58,8.99,153.41 -27.95,-27.95,153.41,Elanora,QLD,153.47 -28.13,-28.13,153.47,20.89
2018-08-01T21:57:02.000+0000,authorized,0,Barry,38,M,POS,279.86,21.79,138.67 -34.86,-34.86,138.67,Yass,NSW,148.91 -34.84,-34.84,148.91,935.06
2018-08-01T22:00:00.000+0000,posted,,Michelle,19,F,PAYMENT,1569.58,33,150.82 -34.01,-34.01,150.82,,,,0,0,0.00
2018-08-01T22:25:27.000+0000,authorized,1,Diana,26,F,POS,976.26,10.32,153.41 -27.95,-27.95,153.41,Labrador,QLD,153.41 -27.94,-27.94,153.41,1.11
2018-08-01T22:55:45.000+0000,authorized,1,Scott,23,M,POS,94.45,19.04,150.90 -34.37,-34.37,150.9,Yagoona,NSW,151.01 -33.91,-33.91,151.01,52.20
2018-08-01T23:00:00.000+0000,posted,,Michael,44,M,PAYMENT,1884.41,157,145.18 -37.90,-37.9,145.18,,,,0,0,0.00
2018-08-01T23:00:00.000+0000,posted,,Antonio,26,M,PAYMENT,1767.37,29,115.78 -31.90,-31.9,115.78,,,,0,0,0.00
2018-08-01T23:00:00.000+0000,posted,,Matthew,39,M,PAYMENT,7014.77,32,145.17 -37.84,-37.84,145.17,,,,0,0,0.00
2018-08-02T00:05:27.000+0000,authorized,1,Michael,21,M,SALES-POS,27923.06,30.47,146.92 -36.07,-36.07,146.92,Docklands,VIC,144.95 -37.82,-37.82,144.95,262.03
2018-08-02T00:50:54.000+0000,authorized,0,Virginia,20,F,SALES-POS,1074.43,15.16,115.79 -31.79,-31.79,115.79,Rockingham,WA,115.74 -32.29,-32.29,115.74,55.86
2018-08-02T01:15:05.000+0000,authorized,1,Ricky,43,M,POS,163.59,10.07,145.16 -37.84,-37.84,145.16,Taylors Lakes,VIC,144.78 -37.7,-37.7,144.78,36.89
2018-08-02T01:52:49.000+0000,authorized,1,Isaiah,23,M,SALES-POS,8306.12,35.99,151.27 -33.76,-33.76,151.27,Mortdale,NSW,151.06 -33.97,-33.97,151.06,30.39
2018-08-02T02:00:00.000+0000,posted,,Ricky,43,M,INTER BANK,147.59,16,145.16 -37.84,-37.84,145.16,,,,0,0,0.00
2018-08-02T02:16:45.000+0000,authorized,1,Charles,18,M,SALES-POS,128.21,32.06,153.41 -28.01,-28.01,153.41,Arundel,QLD,153.38 -27.95,-27.95,153.38,7.30
2018-08-02T02:43:47.000+0000,authorized,1,Christopher,33,M,SALES-POS,58111.04,43.7,145.13 -37.70,-37.7,145.13,Box Hill South,VIC,145.12 -37.83,-37.83,145.12,14.50
2018-08-02T03:00:00.000+0000,posted,,Tim,40,M,PAYMENT,54980.99,47,115.83 -31.90,-31.9,115.83,,,,0,0,0.00
2018-08-02T03:00:00.000+0000,posted,,Joseph,37,M,PAYMENT,223.93,52,153.32 -27.93,-27.93,153.32,,,,0,0,0.00
2018-08-02T03:57:08.000+0000,authorized,1,Melissa,30,F,SALES-POS,128.76,36.07,149.83 -29.47,-29.47,149.83,Melbourne,VIC,144.96 -37.82,-37.82,144.96,1032.86
2018-08-02T04:00:00.000+0000,posted,,Darren,20,M,PAYMENT,6630.82,39,138.56 -35.27,-35.27,138.56,,,,0,0,0.00
2018-08-02T04:00:00.000+0000,posted,,Heather,41,F,PAYMENT,1657.94,22,144.93 -37.79,-37.79,144.93,,,,0,0,0.00
2018-08-02T04:26:29.000+0000,authorized,1,Virginia,20,F,SALES-POS,1066.35,8.08,115.79 -31.79,-31.79,115.79,Beechboro,WA,115.95 -31.87,-31.87,115.95,17.56
2018-08-02T04:53:30.000+0000,authorized,1,Lori,18,F,SALES-POS,15.93,22.49,153.09 -27.48,-27.48,153.09,Southbank,VIC,144.97 -37.83,-37.83,144.97,1379.43
2018-08-02T05:00:00.000+0000,posted,,Fernando,19,M,PAYMENT,4298.5,33,146.94 -36.04,-36.04,146.94,,,,0,0,0.00
2018-08-02T05:00:00.000+0000,posted,,Joseph,37,M,PAYMENT,205.93,18,153.32 -27.93,-27.93,153.32,,,,0,0,0.00
2018-08-02T06:00:00.000+0000,posted,,Tiffany,25,F,PAYMENT,213.37,46,115.74 -31.72,-31.72,115.74,,,,0,0,0.00
2018-08-02T06:00:00.000+0000,posted,,Jacqueline,30,F,PAYMENT,3117.58,47,138.63 -34.93,-34.93,138.63,,,,0,0,0.00
2018-08-02T06:28:34.000+0000,authorized,1,Eric,42,M,POS,35305.32,17.04,144.98 -37.84,-37.84,144.98,Bairnsdale,VIC,147.63 -37.83,-37.83,147.63,232.98
2018-08-02T07:00:00.000+0000,posted,,Linda,35,F,PAYMENT,1580.32,33,144.96 -37.84,-37.84,144.96,,,,0,0,0.00
2018-08-02T07:00:00.000+0000,posted,,Cindy,19,F,INTER BANK,1146.46,22,144.66 -37.91,-37.91,144.66,,,,0,0,0.00
